Date,Open,High,Low,Close,Adj Close,Volume
2012-07-09,31.73,31.9,31.1,31.26,31.26,10945600
2012-07-10,32.169998,32.880001,30.77,31.99,31.99,17785200
2012-07-11,31.469999,32.48,31.2,31.16,31.16,14269500
2012-07-12,30.969999,31.559999,31.47,30.549999,30.549999,13030300
2012-07-13,30.809999,31.4,31.73,30.6,30.6,11300700
2012-07-16,30.719999,31.07,32.17,30.559999,30.559999,8108300
2012-07-17,28.25,30.5,31.47,28.209999,28.209999,24672100
2012-07-18,28.09,28.59,30.97,27.15,27.15,30438600
2012-07-19,29.110001,29.290001,30.81,28.15,28.15,16841800
2012-07-20,29.0,29.5,30.72,28.629999,28.629999,13685100
2012-07-23,28.76,29.469999,28.25,28.719999,28.719999,11869100
2012-07-24,28.75,29.0,28.09,28.01,28.01,12390700
2012-07-25,28.450001,29.450001,29.11,28.1,28.1,11539800
2012-07-26,29.34,29.49,29.0,28.08,28.08,17230200
2012-07-27,26.85,28.23,28.76,26.73,26.73,64597400
2012-07-30,23.709999,24.540001,28.75,22.280001,22.280001,123102300
2012-07-31,23.15,24.040001,28.45,23.030001,23.030001,29285900
2012-08-01,21.709999,23.370001,29.34,21.610001,21.610001,56179400
2012-08-02,20.879999,21.58,26.85,20.84,20.84,44604400
2012-08-03,20.040001,20.84,23.71,19.82,19.82,56374500
2012-08-06,21.09,22.16,23.15,19.9,19.9,80647000
2012-08-07,21.92,22.15,21.71,21.299999,21.299999,27778900
2012-08-08,20.719999,22.450001,20.88,20.5,20.5,36782900
2012-08-09,20.719999,21.15,20.04,20.219999,20.219999,29537400
2012-08-10,21.01,21.17,21.09,20.610001,20.610001,15610700
2012-08-13,21.809999,21.82,21.92,21.129999,21.129999,25794700
2012-08-14,21.6,22.450001,20.72,21.4,21.4,24973100
2012-08-15,20.379999,21.6,20.72,20.25,20.25,39308800
2012-08-16,21.200001,21.41,21.01,20.4,20.4,47861100
2012-08-17,19.870001,20.48,21.81,19.690001,19.690001,157565300
2012-08-20,19.049999,20.08,21.6,19.0,19.0,129293400
2012-08-21,20.01,20.129999,20.38,18.75,18.75,101186600
2012-08-22,19.16,19.98,21.2,19.09,19.09,70640600
2012-08-23,19.440001,19.530001,19.87,18.959999,18.959999,49892200
2012-08-24,19.440001,19.73,19.05,19.360001,19.360001,32813700
2012-08-27,19.41,19.68,20.01,19.25,19.25,29622200
2012-08-28,19.15,19.530001,19.16,19.1,19.1,20704000
2012-08-29,19.34,19.379999,19.44,18.950001,18.950001,25417000
2012-08-30,19.1,19.379999,19.44,19.07,19.07,16124700
2012-08-31,19.09,19.450001,19.41,19.059999,19.059999,30647500
2012-09-04,18.059999,18.700001,19.15,18.030001,18.030001,58764200
2012-09-05,17.73,18.27,19.34,17.549999,17.549999,46622400
2012-09-06,18.58,18.75,19.1,18.18,18.18,60781800
2012-09-07,18.959999,19.26,19.09,18.719999,18.719999,46066500
2012-09-10,18.98,19.42,18.06,18.780001,18.780001,36371700
2012-09-11,18.809999,19.200001,17.73,18.549999,18.549999,24797800
2012-09-12,19.43,19.58,18.58,18.85,18.85,50508200
2012-09-13,20.93,21.16,18.96,20.280001,20.280001,121584000
2012-09-14,20.709999,21.48,18.98,20.610001,20.610001,65041600
2012-09-17,22.0,22.08,18.81,20.9,20.9,72819800
2012-09-18,21.52,22.75,19.43,21.5,21.5,50667600
2012-09-19,21.870001,21.98,20.93,21.370001,21.370001,36760500
2012-09-20,23.290001,23.370001,20.71,21.77,21.77,78782800
2012-09-21,22.59,23.24,22.0,22.540001,22.540001,57248900
2012-09-24,22.860001,23.24,21.52,22.6,22.6,51218100
2012-09-25,20.790001,21.98,21.87,20.360001,20.360001,79106500
2012-09-26,20.280001,21.209999,23.29,20.219999,20.219999,46291700
2012-09-27,20.620001,20.780001,22.59,19.799999,19.799999,38271900
2012-09-28,20.32,21.0,22.86,20.16,20.16,30215900
2012-10-01,21.66,21.950001,20.79,20.5,20.5,65486000
2012-10-02,21.99,22.59,20.28,21.73,21.73,51262700
2012-10-03,22.27,22.49,20.62,21.82,21.82,29341400
2012-10-04,21.83,22.49,20.32,21.799999,21.799999,32000100
2012-10-05,21.950001,22.4,21.66,21.41,21.41,46892100
2012-10-08,20.91,21.629999,21.99,20.879999,20.879999,40529300
2012-10-09,20.4,20.75,22.27,20.16,20.16,32236700
2012-10-10,20.23,20.549999,21.83,19.969999,19.969999,27161800
2012-10-11,19.639999,19.940001,21.95,19.450001,19.450001,39321800
2012-10-12,19.75,19.959999,20.91,19.610001,19.610001,21817300
2012-10-15,19.52,19.799999,20.4,19.48,19.48,18809400
